terminos_multipalabra
"['río grande\nya', 'san antonio\nsin', 'calle navidad', 'ramón\ny en la troca', 'esperándolos simón', 'don nicanor']"
"['luisiana\nmr', 'luisiana\nderechito']"
"['el paso', 'san antonio\nlos', 'condado\nuna sirena lloraba\nun emigrante gritaba\n', 'lino quintana', 'sheriff\nporque yo no sé cantar', 'el candil\notros', 'el altar', 'el parral\nla verdad']"
"['tamaulipas\nlos hombres', 'zacatecas\na un federal de caminos\nera de verdad muy hombre', 'javier peña', 'los bravos del norte\nel corrido de', 'los bravos del norte\nel corrido de']"
"['los estados unidos\ndiez', 'escúchame hijo\nte gustaría que regresáramos a vivir méxico', 'wanna go back to mexico']"
"['río bravo\nme', 'río bravo\nson', 'en méxico', 'río bravo\nson']"
"['sierra de chihuahua', 'juan el grande', 'conchos\ncantaba', 'm60\ncacareaba', 'el rojo', 'camargo\njunto', 'sierra\nbuscaban', 'juan sarmiento\nquisiera']"
"['anastasio pacheco\nprincipal', 'víctor ayala\nle', 'víctor ayala', 'real de los reyes', 'decía timoteo gonzález', 'víctor ayala\n""compadre', 'murió anastasio', 'anastasio pacheco\nmurió anastasio\nque']"
"['liborio cano', 'josé perales', 'bravo\ny el otro', 'linares\nla', 'josé perales\nnada']"
"['el palmito', 'culiacán\nandaban francisco lópez', 'francisco beltrán\nellos', 'francisco lópez', 'francisco beltrán']"
"['sierra\nme crie', 'sierra\ntengo', 'amigo de los amigos', 'sierra de coahuila\nde sinaloa', 'durango\nde sonora', 'tamaulipas\nchihuahua']"
['jalisco\nlaboratorio']
"['medellín\ndon pablo escobar gaviria', 'la tierra', 'padre nuestro']"
"['mes de octubre', 'chito cano', 'chon garcía', 'de reynosa', 'laredo\nanden', 'chito cano']"
[]
"['chapo\nlas', 'el chapo', 'el chapo', 'de sudamérica', 'américa latina\nno', 'chapo guzmán\nmenos', 'miguel félix\nnomás', 'el chapo', 'la ley']"
"['de texas', 'san francisco', 'con el demonio metido\npreparo', 'san isidro\ny', 'murió el tigre de tijuana']"
"[""mcdonald's\naprendí""]"
"['durango\na', 'ja-ah\n¡viva méxico!\nuna troca', 'durango\na', 'sacramento\nde durango']"
"['los estados unidos\nallá', 'sinaloense\nlo digo donde yo quiero\nestado', 'señores\nandan', 'sierra\ntierra']"
"['estaba arnulfo', 'oiga, ¿qué me ve?', 'el teniente malherido', 'arnulfo muy malherido']"
"['san quintín\nde', 'sierra\nsoy el gato de']"
[]
['reynoso\ndijo']
['tener muchas mujeres me gusta']
