Unnamed: 0,title,artist,lyrics
195,Bajo Efectos,Jorge Valenzuela,"cuando fui a un antro encontré a un niña bailando bailando reggaeton
no supe ni cuando pero se me fue acercando y un beso me robo
le invite una copa después le invite otra y así seguimos la noche
bebiendo licor seguimos bailando y noche se fue acabando
y el antro ya cerro la invite a mi casa y se acostó en mi cama
y no se que paso desperte en la mañana con un nudo en la garganta
y mire a la chica y yo sin pantalón
bajo efecto del alcohol hicimos el amor en la madrugada
cuando ella se desperto mire que se asusto no recordaba nada
bajo efecto del alcohol uoh uoh
la lleve a su casa y ella se avergonzaba de lo que paso
yo no decía nada yo quería una michelada la cruda me ataco
desperte en la mañana con un nudo en la garganta
y mire a la chica y yo si pantalón bajo efecto del alcohol
se formo una pasión desesperada bajo efecto del alcohol
hicimos el amor en la madrugada
cuando ella se desperto mire que se asusto no recordaba nada
bajo efecto del alcohol uuho uuho
no recordaba nada"
196,Bajo mil llaves,Los Invasores de Nuevo León,"no pertenesco al mundo donde vives
nose y eso me causa gran trizteza
tu vives incrustada en la fortuna
yo vivo encadenado a mi pobreza
pondre mi corazón bajo mil llaves
para que llano puedas lastimarlo
si quieres divertirte ve a la feria
ahí podras comprar hasta milagros
tu miras el amor a segun su monto
te niegas el valor a las pasiones
prendido a una esperanza estoy viviendo
tu vives destrosando corazones
el sol y la esperanza son eternos
el odio y el amor son compañeros
tu puedes presumir de mil amores
yo puedo presumir que fui el primero
pondre mi corazón bajo mil llavez
sige arriba"
197,Bala perdida,Antonio Aguilar,"no es que no te quiera
si ya no te sigo besando
la cruz no pesa lo hala
son los filos cariño santo
cariño santo
yo no te dejo ni aunque
me grites ni aunque me grites
que ya me estas que ya me estas
acabando
las balas perdidas
pegaron siempre en mi pecho
pero tus besos me inyectaron
nueva vida bala perdida
bala perdida
viene alla el mauser
que te ha tronado que te ha tronado
para acabar para acabar
para acabar con mi vida
cuatro despedidas
las tengo para ti escritas
ahi te las dejo para que llores
cuando te diga bala perdida
bala perdida
y andando  estamos y aqui murio
aqui murio
y adios adios
adios adios
que tengas suerte en la vida"
198,Balacera En El Malecon,Jorge Gamboa,"empezó la balacera
por todito el malecon
12 muertos 4 heridos
la ambulancia levanto
la causa se desconoce
no se saben quienes son
pero cayeron agentes
de transito y sin razón
dos hombres van en la quema
cuando el cougar se paro
también a los dos agentes
cuando hacían la infracción
las placas de los agentes
no detuvieron la acción
cinco muertos se quedaban
seguían la persecución
con balas de metralletas
por todito el malecón
culiacán se estremecía
por los gritos de terror
van por la internacional
y un gran marquiz se paro
llegaba una camioneta
que granizaba el mandón
con balas de metralletas
tuvieron contestación
la camioneta partió
con rumbo que va pal norte
pero el marquiz la siguió
con balas que eran de roche
no pudieron resistir
las balas del gran marquiz
se estrellan con un transporte
y no pudieron huir
y después los remataban
los que iban en el marquiz
triste tocaba la banda
entre llantos de dolor
sacudiendo a los amigos
parientes y compañeros
agentes de policías
que en se cuerpo estuvieron
yo me voy ya me despido
ay culiacan y mi estado
suenan y suenan los tiros
por algo que aquí a pasado
no se saben los motivos
que tantos muertos dejaron
dicen que fue el contrabando
pero no lo han comprobado
si no ay pruebas no ay delito
y el caso no se a cerrado
que aunque la ley es estricta
ningún hombre han agarrado"
199,Balas Expancibas,Bohemios de Sinaloa,"con balas expansivas una granada en su mano una 38 super
un cuernito bien terciado toditos enpecherados en puros
carros blindados
por el bulevar rosales seguido lo ven pasar en guamuchil
sinaloa se encuentra el hombre por hay no puedo decir
su nombre prieto sabes pa quien va resguardado por jaguares
pa los que quieras mataar
en puros carros duros seguro al frente va para cualquier
situacion el la sabe controlar asi lo enseño su padre la
cabeza siempre
hay que usar hay te encargo a tus hermanos se que los vas
a cuidaar
y pa que sepa como roda la cadena
con seguridad les digo super filtres a la suerte el que
no lo quiera quiera creer se le aparece la muerte
respetados por los grandes y temido por valientees
ponganse trucha contrarios por que los voy a trozar
si quieren pelear conmigo no se la van a acabar
un arsenal y un comando disponibles siempre estan
siempre el cochi y el caiman siempre al tiro me veraan
lo que paso aya en nogalescaro lo van a pagar
cabezas ya hay volando mi rifle aceitado estaa mi
pistola en la cintura lista para disparar si quieren
rifar su suerte
la muerte segura esta"
200,BALENCIAGA ADIDAS,Jasiel Nuñez,"sintiendo cómo sopla el viento
yo estoy bien pero me lamento
que aquí siga pasando el tiempo
y yo nomás que no te tengo
queriendo hacértelo lento
pero yo mejor me detengo
porque al volver a hacerte mía
ya no te saco de mi vida
quién lo diría ?  que acabaría
perdiendo la tranquilidad que había
yo no sabía lo que te hacía
cuando con otra por ahí me perdía
de noche y de día te pienso mi niña
yo cómo quеría que tú fueras mía
que tú fuеras mía mas no se podía
drogado la paso balenciaga adidas
lo que me combina en miami y florida
y ni así se olvida este amor suicida ahahahah
mmmm mmmm
metiéndome cosas para que me eleven
con las bandidas en el e11even
billetes llueven bien loco me ven
tratando de olvidar hasta tu olor
mis compas dicen que me veo peor
aunque me vista de gucci o de dior
nada me luce si no estás mi amor
no te culpo pues sé cómo soy
y siempre me tacharon de bad boy
mala fama buena vida me doy
y por eso es que estoy como estoy
de noche y de día te pienso mi niña
yo cómo quería que tú fueras mía
que tú fueras mía mas no se podía
drogado la paso balenciaga adidas
lo que me combina en miami y florida
y ni así se olvida este amor suicida ahahahah
no se olvida"
201,BANDIDA part Peso Pluma,Luis R Conriquez,"morritas no faltan las pacas aquí no se acaban
me bailan las niñas repleta la birkin de tusi rosada
con el venenito ya me prendí ya ando en modo maldito
y no pasa nada porque a la redonda tenemos anillos
pura belicada me cuida la espalda de pechera y cara tapada
people importante las celebridades ahora ya son mis camaradas
una bandida la que me llama se queda ciega con mi cubana
pasa la ubi te llego en el rubi con todo el convoy de blindadas
vivo lo que desde morro ambicionaba
disfruto la vida porque un día se acaba
tracas hijo de su puta madre luis
ando en el joseo la vida no me importa me importa el dinero
moviendo los cuadros como en grand theft auto toreando al gobierno
la cuenta de banco la tengo de lado ya son varios cero
reviento las ligas porque no me gusta guardar el dinero
una lady mala rompe la champaña y conmigo se quita las ganas
people importante las celebridades ahora ya son mis camaradas
y una bandida la que me llama se queda ciega con mi cubana
pasa la ubi te llego en el rubi con todo el convoy de blindadas
vivo lo que desde morro ambicionaba
disfruto la vida porque un día se acaba"
202,Bandido part Oscar Ortiz,Los Primos Del Este,"recuerdo el momento
que nos conocimos
y todas las cosas
que esa noche hicimos
la niña más bella
el cuerpo perfecto pídeme lo que quieras
que para ti estoy puesto
que tal si nos besamos y
mañana sales otra vez conmigo responde si te llamo
no hagas caso si dicen que soy bandido
yo solo quiero contigo
esa mirada
me dice todo tú también quieres y eso lo noto
yo sé que sientes cuando te toco
una corriente entre nosotros
que tiene esa boca tuya
no hay otra en este mundo que la sustituya
bebe dime tiene esa boca tuya
no hay otra en este mundo que la sustituya
que tal si nos besamos y mañana sales otra vez conmigo
responde si te llamo
no hagas caso si dicen que soy bandido
yo solo quiero contigo
yo solo quiero contigo"
203,Baraja de Oro,Chalino Sánchez,"voy a jugarme un albur
con una baraja de oro
que si lo gano ya estuvo
y si lo pierdo ni modo
porque yo soy de los hombres
que cuando pierdo no lloro
las mujeres son barajas
que hay que saber barajear
pa saber cual es la tuya
es la que vas a apostar
no ya después de perdido
quieras volver a jugar
y si juegas sin malicia
porque no les tienes miedo
esperando a sota de oros
te aparece un caballero
dispense mi buen amigo
es que yo llegué primero
el que no lo quiera creer
que le entre a lo pantera
pierde dinero y mujer
y hasta la portamoneda
y a veces llega a su casa
con la camisa de fuera
y ni modo de reclamos
porque yo llegé a caballo
estoy regando el rosal
pa cortar la flor de mayo
perdoneme rey de copas
pero yo soy de a caballo
y si juegas sin malicia
porque no les tienes miedo
esperando a sota de oros
te aparece un caballero
dispense mi buen amigo
es que yo llegué primero"
204,Barajas de Oro,Chalino Sánchez,"voy a jugarme un albur
con una baraja de oro
que si lo gano ya estuvo
y si lo pierdo ni modo
porque yo soy de los hombres
que cuando pierdo no lloro
las mujeres son barajas
que hay que saber barajiar
para saber cuál es la tuya
y es la que vas apostar
no ya después de perdido
quieras volver a jugar
y si juega sin malicia
porque no tienes miedo
esperando a sota de oros
aparece un caballero
dispense mi buen amigo
es que yo llegué primero
el que no lo quiera creer
que le entre a lo pantera
pierde dinero y mujer
y hasta la portamoneda
a veces llega a su casa
con la camisa de fuera
y ni modo de reclamo
porque yo llegue a caballo
estoy regando el rosal
para cortar la flor de mayo
perdóneme rey de copas
pero yo soy de a caballo
y si juega sin malicia
porque no les tienes miedo
esperando a sota de oros
aparece un caballero
dispense mi buen amigo
es que yo llegue primero"
205,Barbara,Michelle Maciel,"ay que bárbara estás
cualquiera que te mirara seguro cae para atrás
hasta un ciego se enamora con la vibra que traes
y esa magia que traes
que bárbara que bárbara
y tan buena del físico
pero su mente está más rica
que mi comida favorita
mami a ti una barbie te queda chiquita
estamos bajo cero pero haces que me derrita
sonríe pa las fotos sonríe pa la vida
modela ese cuerpito y también esas estrías
ellos te tiran hate pero besos tú les tiras
que bien te ves sin ropa pareces de mentiras uh
ya pedí de navidad
tu sonrisa de tattoo
y que despertemos juntos
en una playita en tulum
no sé si eres de verdad
y si me besaras tú
termino en un ata
termino en un ataúd
ay que bárbara estás
cualquiera que te mirara seguro cae para atrás
hasta un ciego se enamora con la vibra que traes
y esa magia que traes
que bárbara que bárbara
no te apagan ni tirándote veneno
siempre para delante tu carro no tiene freno
de ti me gusta todo lo malo y todo lo bueno
y ese cuerpo de película de besos te lo lleno uh
ya pedí de navidad
tu sonrisa de tattoo
y que despertemos juntos
en una playita en tulum
no sé si eres de verdad
y si me besaras tú
termino en un ata
termino en un ataúd
ay que bárbara estás
cualquiera que te mirara seguro cae para atrás
hasta un ciego se enamora con la vibra que traes
y esa magia que traes
que bárbara que bárbara"
206,Barrio Xolo,El de La Guitarra,"pásame un poco de polvo
con los perritos yo me pongo
una bala que no mata
adentro llena está de carga
lista para la descarga
los gramos solamente viajan
y una barbie se menea
se mueve entre toda mi hierba
se atizan mientras se envenenan
yo soy el que mueve las piezas
y si soy güero pero no me busquen
porque pueden encontrar
y no les va a gustar
desde tijuana específico
en playas le he de radicar
a san diego va
bien conectado está la tranza
que se mueve la sonaja mantas se verán
y palo equipo de trabajo
una mención especial
porque lo prometido
es deuda el viejon y su compita
y el de la guitarra es muy viejo
a donde llego soy bien recibido porque me gusta ayudar
manejo lealtad
soy buen amigo del amigo balas para los contrarios van
no la va pensar
entre balazos y perico me festejo cuando un antro va ni motivo hay
bien conectado esta la tranza que se mueve la sonaja mantas se verán
y palo equipo de trabajo una mención especial
vengo de un barrio muy cholo
no hay pedo yo brinco sólo
si me miran patrullando
una presa voy cazando
el 50 me distingue
pero el que va en las narices
en mi cara hay cicatrices
para el cuerpo proyectiles
y de muchas la he librado
hay que seguir trabajando"
207,Basto,Intocable,"basto con solamente conocerte
conque solo te viera aquella primera vez
para poderle dar un cambio a mi existencia
de una forma total
basto con solamente tu presencia
para que yo dejara de ser lo que antes era
para que me rindiera a tus pies y que hicieras
tu conmigo lo que quieras
basto solo basto
con que te conociera para darte el corazon
basto que solamente yo tan solo contemplara
toda la belleza que deslumbra de tu cara
basto que tu esencia cambiara mi existencia
y uniera mis latidos a tus latidos de amor
basto con embriagarme del olor de tu fragancia
para que un instante al momento yo te amara
basto solo sentirte para poder rendirme
para que te mudaras dentro de mi corazon
basto solo basto
basto solo basto
con que te conociera para darte el corazon
basto que solamente yo tan solo contemplara
toda esa belleza que deslumbra de tu cara
basto que tu esencia cambiara mi existencia
y uniera mis latidos a tus latidos de amor
basto con embriagarme del olor de tu fragancia
par que un instante al momento yo te amara
basto solo sentirte para poder rendirme
para que te mudaras dentro de mi corazon
basto solo basto"
208,BB FIRST CLASS part Alemán,Jasiel Nuñez,"yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
y yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
mami yo no soy uno más del escombro
yo resuelvo y a la ley siempre la compro
la verdad ya casi con nada me asombro ah
pero cuando miro tu rostro siempre me deslumbro
quiero tus piernas arriba de mis hombros ah
contigo puedo hacer cosas que no acostumbro wuh
tú pide dom pé yo la rompo oh
si te molesta claro los tumbo
ella se pone cariñosa con el polvo rosa ah
me pide mari yo cargo siempre de la apestosa
seguimos con la cosa ya mandé a traer otra onza
ella sabe muy bien cómo es la vida mafiosa
peligrosa pero te deja un chingo de feria yeah
te hablo claro porque contigo la cosa es seria
te vuelo por todo el mundo lo que sobra es materia
first class mami vuelas por iberia
yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
y yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
a ella le gusta mi flow
no conoce otro como yo
de méxico para nueva york
de argentina para brasil mi amor
mamacita chula ni cómo disimular
para que no veas que no había nada pero ahora me enculas
o sea me encantas sin dudas
destapamos dom péris en tokio en discotecas finas
esa mina me domina como dominó
y eso que ni se diga soporta mi bipolar humor
la distancia para nosotros no es factor
porque lo hacemos cuando hablamos por el phone
business class tú te mereces lo mejor
ven conmigo te compro el ticket de avión
big love es de escándalo
estoy en el aeropuerto porque ya llegó
yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
y yo la vuelo de madrid para la
porque sabe que no hay dos como este wey
allá en la troca fumamos mary jane
no hay pedo ya sabe que compro la ley
a ella le gusta mi flow
no conoce otro como yo
de méxico para nueva york
de argentina para brasil mi amor
ella me dice que no
porque este loco bien le gustó
por todos lados dame el roll
en miami disfrutando el sol"
209,Bebé Dame part Grupo Frontera,Fuerza Regida,"fierro
de las cumbias originales
con mis compas grupo frontera
y fuerza regida compadre
fierro pues
márquele compa carlos
tengo tiempo pensando en los dos
si podemos arreglar la situación
lo nuestro es una guerra en el amor
defiendo lo que me pide el corazón
quiero comerte yo todos los días
me enamorabas con lo que decías
tenerte de nuevo es mi fantasía
bebé lo que te pido ven dame
lo que te exijo
no quisiera que pase otro día
y no te vea al amanecer
bebé lo que te pido ven dame
lo que te exijo
no quisiera que pase otro día
y no te vea al amanecer
tengo mil planes
propuestas para amar
tú y yo en la soledad
te escribí un poema
para enamorarte
solo quiero amarte
yo aquí te espero solo vente vente vente
yo lo hago diferente
yo aquí te espero solo vente vente vente
no sales de mi mente
yo aquí te espero solo vente vente vente
yo sé como quererte
dime que sí dime que sí
voy a tenerte
quiero comerte yo todos los días
me enamorabas con lo que decías
tenerte de nuevo es mi fantasía
bebé lo que te pido ven dame
lo que te exijo
no quisiera que pase otro día
y no te vea al amanecer
bebé lo que te pido ven dame
lo que te exijo
no quisiera que pase otro día
y no te vea al amanecer
tengo mil planes
propuestas para amar
tú y yo en la soledad
te escribí un poema
para enamorarte
solo quiero amarte
yo aquí te espero solo vente vente vente
yo lo hago diferente
yo aquí te espero solo vente vente vente
no sales de mi mente
yo aquí te espero solo vente vente vente
yo sé como quererte
dime que sí dime que sí
voy a tenerte"
210,Beli Beli part Miranda León,Ysrael Barajas,"dímelo miranda león puro ya sabes
la niña bonita que tiene locos a todos
fina y cotizada le gusta todo su modo
se porta muy mal si nadie nos ve
a las diez en punto yo voy por usted
se mira muy coquette labios lindos sobre todo
si nos ven en fotos claro se hace un alboroto
su bolsita dior tenis lv
algo bien el tablero mercedesbenz
happy me pongo si me dices
papi conmigo tienes trato
vip tus caderas me prenden
estás candente tan diferente
por ti me vuelvo un delincuente
y así me paso de repente
dancing en tus ojos perderme
perderme perderme
yo sé
tú piensas en mí todo el dia
dime te gusta lo que ves
ese tatto dejame ver
dulce fresita muñequita linda
que delia cuando dice que
te mueres por volverme a ver
la fresita quiere a su beli beli
uno así como tú ay no que fantasy
yo sé tú quieres de mí
se te ve
la fresita quiere a su beli beli
uno así como tú ay no que fantasy
ajá
ay no que fantasy
happy me pongo si me dices
papi conmigo tienes trato
vip tus caderas me prenden
estás candente tan diferente
te te
ponte tu lentes prada
no eres igual al resto por eso y más me encantas
aunque tú mi se enoje porque conmigo andas
somos polos opuestos tu sonrisa me atrapa
pa pa pa
por mí te vuelves delincuente
y así te paso de repente
dancing en mis ojos te pierdes
completamente completamente
por mí te vuelves delincuente
y así te paso de repente
dancing en mis ojos te pierdes
completamente completamente
en secreto
me dices
que sí
ey
cuando me miras
ay qué fantasy
ey solo quiero decirte que
aunque yo venga de la nada
con la mujer correcta
nada va a tener
nada
en secreto
me dices
que sí
cuando me miras
ay qué fantasy"
211,Belicotas part Lenin Ramirez Flako Cah Mc Window y Atirus,Yahir Saldivar,"y cómo no decir que no
que yo soy un bandido aquí prendo mi leño
se juntó toda la flota las morras belicotas
andamos bien a gusto disfrutando en la playota
y cómo no decir que no
destapen las botellas para pasarla mamalón
me salgo equipado para la calle
traigo 38 no ocupa mucho detalle
por el malecón suena la cumbia ya se sabe
quiénes son los buenos cuando se anda armando el baile
ando paseando en un yate placosón
que se arrimen las morras rolándote el bolsón
que se arme el fiestón en mazatlán voy de rol
en una pulmonía entre la arena y el sol
porque vengo acá en la troca fume y fume mota
no ocupo decir nada mi gente se rebota
y cómo no decir que no
que yo soy un bandido aquí prendo mi leño
se juntó toda la flota las morras belicotas
andamos bien a gusto disfrutando en la playota
y cómo no decir que no
destapen las botellas para pasarla mamalón
la raza bien activa con las damas se motivan
con los ojos colorados por la cannabis sativa
pisteando bironga fría fumo lo que se cultiva
y hasta ahorita no hay nadie que a mí me lo prohíba
dale compa que suene
usted no se me agüite mejor trépese al bm
se miran que allá vienen en caravana full
botellas hay de todo y para que vueles un red bull
llegaron las plebitas ya se nos armó la fiesta
le dimos para el malecón fierro hasta que amanezca
le tiro y me contesta que se jalen con las bélicas
andamos prendidos se puso a bailar la güerita
un whiskyto somerito para seguir celebrando
el aparato el cinto mano arriba ‘toy brindando
pegando bateando sonando lo bueno
lo bueno traemos para todo terreno
se prendió el ambiente que no se apague la flama
borracho y tembeleque pero viendo el panorama
en el playón se arma levanten las botellas
se jalaron a la fiesta en el yate plebitas bellas
porque vengo acá en la troca fume y fume mota
no ocupo decir nada mi gente se rebota
y cómo no decir que no
que yo soy un bandido aquí prendo mi leño
se juntó toda la flota las morras belicotas
andamos bien a gusto disfrutando en la playota
y cómo no decir que no
destapen las botellas para pasarla mamalón
porque vengo acá en la troca fume y fume mota
no ocupo decir nada mi gente se rebota
y cómo no decir que no
que yo soy un bandido aquí prendo mi leño
se juntó toda la flota las morras belicotas
andamos bien a gusto disfrutando en la playota
y cómo no decir que no
destapen las botellas para pasarla mamalón"
212,BELIKON part Luis R Conriquez y Tito Double P,Gabito Ballesteros,"ando siempre fuera de control
molly en el power suena el lambo
chingo de blindadas cuidando al señor
diamantes en el rolex cuello y el cuerno
botita militar con pechera pero también soy fresón
los blancos se ven que machín siembra el terror
menean los scar bien duro el rubicón
puro scary movie con el cincuentón
traigo negritos de oferta son rusos no son de bimbo
a la orden del flaco se quitan o aquí los quito
dе la oficina se van bien peinados
o sе alinean o los alineamos
aquí no jugamos a los tazos son tostonazos
boludos a papazos del cielo en chinga los bajamos
culos polvos y feria aquí hay buffet
y mi charola es como el telcel
compa gabo tito double p
uh
ay mamá
así suena su compa gabito viejo
compa luis r
compa tito
tracas a la verga
uh
los colores cambian y cambia el patrón
chícharo en la oreja y en el superón
tijuana es su casa los atiendo yo
y con el puma ya saben qué show
bélicas europeas exclusivas yo cargo en el blindadón
y hasta francia se ve que machín llega el polvo
para las shortys dom péri para mí un gallo
pura mostaza cherry y ando bélico
traigo negritos de oferta son rusos no son de bimbo
a la orden del flaco se quitan o aquí los quito
de la oficina se van bien peinados
o se alinean o los alineamos
aquí no jugamos a los tazos son tostonazos
boludos a papazos del cielo en chinga los bajamos
culos polvos y feria aquí hay buffet
y mi charola jala más que telcel"
213,Belleza de Cantina,Los Cardenales de Nuevo León,"no te preocupes mi amor
es verdad la voy a ver
es verdad que ella fue toda mi vida
pero recuerda también que cuando a ti te encontré yo me moría de dolor
a causa de su partida
no me prohíbas salir
tienes razón al sentir
todos los celos del mundo mi vida
voy solo para afrontar
que aquello se terminó
viendo de frente a quien fue
la causa de mi desdicha
se que sigue tan hermosa
se que sigue tan graciosa
pero es solo su envoltura
lo que lleva adentro es basura
me dicen que es una diosa
una reina la gran cosa
pero aunque sigue tan divina
será siempre una belleza de cantina
no te preocupes mi amor
es verdad la voy a ver
es verdad que ella fue toda mi vida
pero recuerda también que cuando a ti te encontré yo me moría de dolor
a causa de su partida
no me prohíbas salir
tienes razón al sentir
todos los celos del mundo mi vida
voy solo para afrontar
que aquello se terminó
viendo de frente a quien fue
la causa de mi desdicha
se que sigue tan hermosa
se que sigue tan graciosa
pero es solo su envoltura
lo que lleva dentro es basura
me dicen que es una diosa
una reina la gran cosa
pero aunque sigue tan divina
será siempre una belleza de cantina"
214,Bello pecado,Chuy Jr,"era tu primera vez
te robe lo más sagrado
te robe tu sencillez
y tu primera vez
tu más blanco pecado
hiceme a tu linda piel
y tu primera experiencia
el alma te desnude
lo mejor me lleve
te quite la inocencia
siempre lo recordare
y lo guardo en mi conciencia
esa noche de placer
que recorrí tu piel
desde pies a cabeza
era tu primera vez
tu primera fantasía
que se te hacia realidad
entre dolor y besos
y caricias mías
era tu primera vez
entre sollozos y llantos
entre dicha y entre placer
te entregaste al ser
que tú quisiste tanto"
215,Benancio Elenes,Javier Rueda,"ente caminos y cerros tierra o pavimento
entre paisajes verdes
arollos con agua y cecos sangre
si eeh ganado perfil sinaloense
bota de avestruz y de sombrero
bailando un caballo con musica alegre
de huarache cruzado y cachucha
humilde y sencillo don benancio elenes
un hombre de nacimiento manuel de trabajo
es sabia persona
nacido en el hormiguero su querido rancho
ya vere su historiaa
como todo inicio desde abajo
pero paso a paso fue aser diferente
un señor de los mas respetados
por lor mas pesados y los grandes jefes
45 fajada cerrada su barba
siempre lo ven serio
pensativo todo el tiempo
su jente trabaja el es muy discreto
buscando el camino mas seguro
cuenta con apollo de toda su raza
a su lado los de mas confianza
y entre la familia miguelito cuadras
por todos es muy querido
cuenta con amigos no tiene pendientes
alegre y enamorado es cmo lo an visto
siempre desde plebee
y culiacan sinaloa tambien es tu tierra
no lo aa olvidado
por ahi seguido pasea con banda y norteño
bien acompañadoo
lleva la vida del campo le gusta la tierra
tambien el ganado
muy querido y distinguido
siempre se festeja aia por su rancho
tomando con todos los amigos
bailando un caballo con musica alegre
hoy disfruta tal como lo han visto
asi de sencillo don benancio elenes"
216,Berlin,Calle 24,"recuerdo los besos que te daba en la mejilla
porque éramos novios y tu mami no sabía
sin pensar que en su casa era donde te hacía mía
en el cuarto seriecitos tal vez lo sabía
brilla brilla ahah
esos ojos me dominan les doy lo que pidan
no quiero una noche contigo quiero una vida
no hagas caso a tus padres yo no soy lo que miran
los diamantes y los carros los compré en la gira
mira mira ahah
hoy quiero hacerte feliz
quiero llevarte a berlín
por no haberme abandonado y siempre haber estado aquí
por no haberme abandonado y siempre haber estado aquí
y así suena el amor de la calle baby
la c el 2 y el 4 chiquitita
jaja
dime lo que quieres te doy todo lo que pidas
hoy pide permiso no te salgas a escondidas
llévate el conjunto rojo aquel que te ponías
tu cara de santa no encaja con lo que hacías
brilla brilla ahah
esos ojos me dominan les doy lo que pidan
no quiero una noche contigo quiero una vida
no hagas caso a tus padres yo no soy lo que miran
los diamantes y los carros los compré en la gira
mira mira ahah
hoy quiero hacerte feliz
quiero llevarte a berlín
por no haberme abandonado y siempre haber estado aquí
por no haberme abandonado y siempre haber estado aquí"
217,Besame Kiss me,Fabio Guerra,"ey la conocí bailando
en una noche de rumba
vino sin dueño
saco a esa perra a pasear ey ey
y escucha ferxxo la baby menea los pechos
rebota ese booty que tiembla hasta el techo
sabe cual hay
mami no se decime si quieres que reserve el hotel
te cuento las cositas que vamos a hacer
cual hay
besame
no pares de besar
besame
besame besame más
besa besa besame
no me pares de besar
besame
besame besame más
and it don't feel high rightrightrightright
but its just for the night ayayayay
i dont wanna lielielielie
but you make me feel alright
got you on my mind ayayayay
thinking about you all the time ayayayay
if its not you if its not you
then byebyebye
besame
no pares de besar
besame
besame besame más
besa besa besame
no me pares de besar
besame eheh
y escucha ferxxo la baby menea los pechos
rebota ese booty que tiembla hasta el techo
sabe cual hay
mami no sé decime si quieres que reserve el hotel
te cuento las cositas que vamos a hacer
cual hay
besame
no pares de besar
besame
besame besame más
besa besa besame
no me pares de besar
besame
besame besame más"
218,Besitos Al Revés,Los Gfez,"te voy a proponer algo diferente
te voy a complacer pero no como siempre
sé que te va a gustar y que al terminar
me lo vas a pedir una vez más
todo va a iniciar contigo recostada
tus piernas mirarán al respaldo de la cama
tu cabello colgará de cabeza mirarás
ahí es donde la magia va a empezar
pasearé por tu pecho despacito hasta el ombligo
besarte muy suave y seguir el caminito
y entre tus piernas me voy a perder tantito
y a esas alturas sé que tú harás lo mismo
te voy a morder las piernas una y otra vez
y a humedecerte los deditos de tus pies
de esa manera voy a hacerte enloquecer
cuando te dé besitos al revés
y besitos al revés chiquitita
los gfez
todo va a iniciar contigo recostada
tus piernas mirarán al respaldo de la cama
tu cabello colgará de cabeza mirarás
ahí es donde la magia va a empezar
pasearé por tu pecho despacito hasta el ombligo
besarte muy suave y seguir el caminito
y entre tus piernas me voy a perder tantito
y a esas alturas sé que tú harás lo mismo
te voy a morder las piernas una y otra vez
y a humedecerte los deditos de tus pies
de esa manera voy a hacerte enloquecer
cuando te dé besitos al revés"
219,Besitos en el cuello,El Coyote Y Su Banda,"disculpame 
pero sera imposible 
ocultar que me estoy 
muriendo por dentro 
traigo tus besitos marcados 
en el cuello 
y tu nombre bien grabado 
aqui en mi pecho 
disculpame 
pero sera imposible 
ignorarte cuando 
pases por mi lado 
acaso te olvidaste 
que yo no soy de palo 
me dejaste plenamente 
enamorado 
y tu 
que te ganas con 
decir que me olvidaste 
apuesto lo que tengo que 
esto es obra de tus padres 
que no pueden soportar 
que tu me ames 
y yo 
yo no voy renunciar 
a tu cariño corre dile
a tus padres 
que yo no me resigno 
a perderte nadamas por 
sus caprichos 
y tu 
que te ganas con 
decir que me olvidaste 
apuesto lo que tengo que 
esto es obra de tus padres 
que no pueden soportar 
que tu me ames 
y yo 
yo no voy a renunciar 
a tu cariño corre dile 
a tus padres 
que yo no me resigno 
a perderte nadamas por 
sus caprichooooos"
220,Bien Belicones part Tony Aguirre,Grupo Arriesgado,"cargando tostones y metralletas lanzagranadas m60
las camionetas andan reforzadas siempre patrullando
bien belicones con todo el power a lo que venga van a toparle
para proteger la zona de los contras sobran aparatos
la bandera la protegen veinticuatro siete bien pilas están
dan la vida por el jefe y el que se entrometa no la ha de contar
todo se mantiene en orden
y si aquí hay desorden saben cómo actuar
aquello que les estorbe seis metros abajo van a terminar
a los muchachos no les asusta soltar vergazo ni las disputa
naturaleza bélica en la sangre tiran a matar
entre las brechas allá en la sierra van levantando la polvadera
en caravana con traje de guerra llegan para el rancho
la adrenalina con un suspiro para regalarse un buen cigarrito
y se divierten pero están al tiro siempre en el trabajo
la bandera la protegen veinticuatro siete bien pilas están
dan la vida por el jefe y el que se entrometa no la ha de contar
todo se mantiene en orden y si aquí hay desorden saben cómo actuar
aquello que les estorbe seis metros abajo van a terminar
a los muchachos no les asusta soltar vergazos en las disputas
naturaleza bélica en la sangre tiran a m'atar"
