Unnamed: 0,title,artist,lyrics
10,A Mi Modo,Ivonne Galaz,"puro rancho humilde
this is a mi modo
let's get it
siempre con los ojos irritados me la he pasado
no ocupo de ningún santo ni tampoco de sus paros
con la mente abierta siempre y con un cuaderno en mi mano
porque me gusta escribir de lo que veo y que hago
como si la mente a mí me estuvieran controlando
el diablo me tomó de mano al cielo me está invitando
a dios ruégale todavía que te pones con el malo
si no sabes lo que hablo mejor quédate callado
tumbados in the house
así son ivonne galaz
ay ay ay
my turn ja
mis letras son mías a nadie yo nunca le he robado
no tengo negocio yo solita me la he averiguado
una canción en menos de veinte minutos sí saco
no se impresionen pero de mi cabeza yo lo hago
aunque digan degollando a mí nunca me ha importado
a tontas y locas este cuento siempre le han contado
así me la hacen todas yo voy a seguir expresando
no hay mal que por bien no venga y esto a mí me ha costado
dímelo paul
that's it"
11,A Mi Que Me Quedo,Los Invasores de Nuevo León,"cuanto valgo para ti 
no se que contestaras 
estás llena de mentiras 
que te escurre vanidad 
no se acabara mi vida 
no me cortare las venas 
no llores no hagas escenas 
vete si es lo que deseas 
y que gane ? 
mil noches de amor perdidas
miles de caricias muertas
siempre curando una herida
y a mi
que me quedo de tu maldito amor
sólo un costal de desiluciones
mutilaste mis pasiones
te di
lo que tu sabes no hallaras con nadie
todo mi amor fui buen amante
y si un dia regresas
sera demasiado tarde 
no se acabara mi vida
no me cortare las venas
no llores no hagas escenas
vete si es lo que deseas 
y que gane ? 
mil noches de amor perdidas
miles de caricias muertas
siempre curando una herida 
y a mi
que me quedo de tu maldito amor
sólo un costal de desiluciones
mutilaste mis pasiones 
te di
lo que tu sabes no hallaras con nadie
todo mi amor fui buen amante
y si un dia regresas
sera demasiado tarde"
12,A Mis Enemigos,Valentín Elizalde,"y esta va pa toda la bola de envidiosos aija
y de que se murieron los quemados ? 
siguen ladrando los perros
señal que voy avanzando
así lo dice el refrán
para aquellos que andan hablando
de la gente que trabaja y que no anda vacilando
al que no le vino el saco pídalo a su medida
conmigo no andan jugando
para que se arriesgan la vida
traigo una súper patada
y los traigo ya en la mira
para hablar a mis espaldas
para eso se pintan solos
por qué no me hablan de frente ? 
acaso temen al mono
ya saben con quien se meten
vengan a rifar la suerte
y hechele compa lira puro navojoa municipio de guasave
a mi nadie me dio nada
todo lo que tengo es mío
con el sudor de mi frente
he logrado lo que he querido
solo la vida les debo a mis padres tan queridos
navojoa como te quiero
guasave tierra querida
siempre que me ando paseando
los extraño sin medida
luego llego de pasada a visitar a mi familia
sigan chillando culebras las quitare del camino
y a los que en verdad me aprecian aquí tiene a un amigo
ya les cante este corrido a todos mis enemigos"
13,A Partir de Ahora,Los Herederos De Nuevo Leon,"a partir de ahora dejo de ser tuyo
de ser alimento de tu vanidad
me canse de verte pisotear mi orgullo
contigo no existe la felicidad
renuncie a tus besos
mas fríos que un hielo
toda tu belleza de nada sirvió
para regalarte un trozo de cielo
lo que ayer sentía todo se murió
a partir de ahora ya no me veraz la cara
aquí se rompió una tasa y cada quien
con otro amor
búscate otro que alimente tus caprichos
tus mentiras
yo me lanzo a la aventura me lo exige el corazón
a partir de ahora este cuerpo que fue tuyo
no tendrá una sola dueña seré libre de sentir
las caricias de otras manos que despierten mis pasiones
gozare con quien me quiera me divertiré a morir
y a partir de ahora sin ti recomenzare a vivir"
14,A Punta de Balazos part Novillos de La Sierra,Luis R Conriquez,"traigan cerveza porque esta noche me quiero desvelar
unas botellas para las niñas fresas pero de champán
y aunque esté nublado se me está antojando para tomar
ya le he chingado y ahora me toca disfrutar
lo que yo tengo a punta de balazos me lo fui a ganar
y con orgullo porto la bandera del chapo guzmán
soy del equipo andamos bien puestos para pelear
y al que no lo crea nomás que se arrime a culiacán
aquí le mando un fuerte abrazo a mi compa abraham
es buen amigo hombrе de palabra se da a respеtar
y al ahijado con mucho respeto mando saludar
compadre 14 no dude que aquí cuenta con mi amistad
y va de nuevo compa luis r
y puros novillos de la sierra viejo
fierro
y bien bélicos los novillones de la sierra viejo
jojoy
los antiaéreos 50s y m60 ahí están
bien a la mano por si acaso se llegaran a ocupar
ando en la mafia no ando con rodeo ni maña pa avanzar
esta escuela me dio el chicken little le tengo lealtad
aquí en mi pecho traigo un tatuaje bien marcado está
dice ovidio guzmán lópez ahí pa que sepan nomás
agradecido con el señor siempre lo voy a estar
por el apoyo y el respaldo que me fue a brindar
los papelitos verdes solitos me llegan hasta acá
si una muchacha me gusta nunca escatimo pa gastar
y desde el cielo las bendiciones me las manda mi amá
yo soy el irving o el 18 aquí vamos a andar"
15,A Puro Dolor,Gabito Ballesteros,"ahí te va chiquitita
es su compa gabito viejo
uh
perdona si te estoy llamando en este momento
pero me hacía falta escuchar de nuevo
aunque sea un instante tu respiración
disculpa sé que estoy violando nuestro juramento
sé que estás con alguien que no es el momento
pero hay algo urgente que decirte hoy
me estoy muriendo
muriendo por verte
agonizando
muy lento y muy fuerte
vida devuélveme mi fantasía
mis ganas de vivir la vida
devuélveme el aire
cariño mío sin ti yo me siento vacío
las tardes son un laberinto y
las noches me saben
a puro dolor
puro ct viejo
quisiera decirte que hoy estoy de maravilla
que no me ha afectado lo de tu partida
pero con un dedo no se tapa el sol
estoy muriendo
muriendo por verte
agonizando
muy lento y muy fuerte
vida devuélveme mi fantasía
mis ganas de vivir la vida
devuélveme el aire
cariño mío sin ti yo me siento vacío
las tardes son un laberinto y
las noches me saben
a puro dolor
vida
devuélveme mis fantasías
mis ganas de vivir la vida
devuélveme el aire"
16,A Puño Limpio,Beto Vega,"no me recuerdan ? 
soy aquel niño que soñaba con ser alguien
el muchachito que le ayudaba a su padre
yo también vendí paletas y era todo un comerciante
y negocié con los choferes de los trailers
la vida te pone a prueba y uno tiene que atorarle
voy a contarles no le aflojé
tenía ganas valentía y mucha hambre
y me llamaron la atención un par de guantes
me dio por subirme al ring y dije pura pa adelante
me he tropezado pero vuelvo a levantarme
si vas a soñar despierto se vale soñar en grande es importante
y a puño limpio
así empecé a ganarme el pan de cada día
gané el respeto y también me cambió la vida
de pronto llegó al fama mucha lana y mucha envidia
me fui con todo
y vi caer al oponente ante mis pies
que traigan otro y no quiero saber quién es
si se aguita pues ni modo porque igual ya lo tumbé
no soy monedita de oro cómo vez ? 
y puro para adelante compa colorado
a puño limpio viejones
beto vega
no soy un santo
aunque en mi casa todos me digan santito
me he tropezado muchas veces y lo admito
también soy un ser humano así que espérense tantito
por mi bandera claro que me pego el tiro
no faltan los que abuchean pero más me han aplaudido
se siente chido
y lo logré
a puño limpio pude llegar a la cima
siempre le voy agradecer a mi familia
no dejó de echarme porras cuando más se requería
tengo a mis hijos que por ellos doy la vida
y qué tal si de los lujos platicamos otro día
ahí les decía
me fui de frente
saqué las garras me agarraron de mal pelo
desde las gradas la gente decía canelo
era lo que me faltaba y el rival cayó en el suelo
me fui con todo
y ya ni modo si se rompieron los platos
en el negocio yo no soy ningún novato
si me tiran me defiendo y si me caigo me levanto
no soy monedita de oro como les dije hace rato"
17,A que no le ppones,Los Cardenales de Nuevo León,"a que no le pones
un moño  esta noche y me la regalas
a que no te a trevez
a vivir tus sueños cortarme las alas
a que no te vienes
con migo esta noche asta en la mañana
a que no le pones
un moño esta noche y me la regalas
no vay a ser que te pierda
no vaya a  ser que me pierdas
no vaya a ser la de malasy no volvamos a vernos
y que los dos nos quedemos con las ganas
a que no te vienes
con migo esta noche asta en la mañana
a que no le pones
un ñono esta noche y me"
18,A Quien Sonrias,El Chalinillo,"cuando te vi por primera vez
sencillamente no podia creerlo
eres tan linda tan dulce y perfecta
que quien te mira le provocas deseo
lo tienes todo y asta un poco màs
un lindo pelo que muve la brisa
pero sin duda tu mejor virtud
es tu increible y hermosa sonrisa
por eso te digooo
quien logre besarte tendrà mucha suerte
quien tenga tu abrazo va a sentirse fuerte
quien se vea en tus ojos va a mirar el cielo
va a volverse loco a quien digas te quiero
quien duerma contigo no tendrà mas miedo
quien te vea en sus brazos no podrà creerlo
quien llore contigo lo arà de alegrìa
pero a quien sonrìas vas a alegrarle la vida
cuando te vi por primera vez
sencillamente no podia creerlo
eres tan linda tan dulce y perfecta
que quien te mira le provocas deseo
lo tienes todo y asta un poco màs
un lindo pelo que muve la brisa
pero sin duda tu mejor virtud
es tu increible y hermosa sonrisa
por eso te digooo
quien logre besarte tendrà mucha suerte
quien tenga tu abrazo va a sentirse fuerte
quien se vea en tus ojos va a mirar el cielo
va a volverse loco a quien digas te quiero
quien duerma contigo no tendrà mas miedo
quien te vea en sus brazos no podrà creerlo
quien llore contigo lo arà de alegrìa
pero a quien sonrìas vas a alegrarle la vida"
19,A Solas Con La Botella,Christian Nodal,"quién recorrerá mi piel y de besos llenará
los vacíos que dejaste ?  amarme quién se atreverá ? 
si preguntan yo estoy bien pero es por aparentar
la sonrisa que hoy me cargo es de tristeza y soledad
no sé si se lo deje al tiempo
ya no confío ni en mi sombra
solo pocos me entenderán
si hasta la mente me traiciona
cuando por fin el cora
se siente cerca de olvidar
y hablando a solas
con la botella he llegado a pensar
por qué te sigo guardando un lugar
si estás tan lejos de quererme cerquita
y hablando a solas
con la botella he llegado a pensar
si pierdo mi orgullo y te voy a buscar
borracho y lloro
porque sé bien que sobrio
no me lo voy a perdonar
no sé si se lo deje al tiempo
ya no confío ni en mi sombra
solo pocos me entenderán
si hasta la mente me traiciona
cuando por fin el cora
se siente cerca de olvidar
y hablando a solas
con la botella he llegado a pensar
por qué te sigo guardando un lugar
si estás tan lejos de quererme cerquita
y hablando a solas
con la botella he llegado a pensar
si pierdo mi orgullo y te voy a buscar
borracho y lloro
porque sé bien que sobrio
no me lo voy a perdonar"
20,A Ti Padre,Banda Culiacancito,"a ti padre te dedico estas palabras
a ti padre que fuiste como un amigo
si supieras lo que ahorita estoy sintiendo
al saber que tu no estarás mas conmigo
te doy gracias por lo que tú me enseñaste
por la forma en que siempre nos trataste
me enseñaste a trabajar y a ser decente
y que siempre respetemos a la gente
me duele que tu ya no estés mas conmigo
me duele porque no te volveré a ver
y si dios me concediera a mí un milagro
a ti como padre te volvería yo a escoger
te recuerdo yo montado en tu caballo
te recuerdo y ya te empiezo a extrañar
me haces falta yo no se porque te fuiste
en ti la fuerte de la familia del villar
y cuando quiera a ti volver a verte
miro al cielo y veo una estrella brillar
se que tu desde allá nos estarás cuidando
y a la tumba siempre te iré a visitar
por mi madre te pido no te preocupes
te prometo que yo la voy a cuidar
mis hermanas mis hermanos y tus nietos
de ti nunca no nos vamos a olvidar
me duele que tu ya no estés mas conmigo
me duele porque no te volveré a ver
y si dios me concediera a mí un milagro
a ti como padre te volvería yo a escoger
y si dios me concediera a mí un milagro
a ti como padre te volvería yo a escoger"
21,A Ti,Grupo Marca Registrada,"me robaste la mirada no sé qué
decirte no tengo palabras porque
en estos tiempos se ha vuelto rutina
la palabra amor dime tú cómo
demuestro remarca palabras con un
marca textos nada más de verte me
pongo contento y no sé qué pasó
me saldré de la rutina quiero darle un
giro completo a mi vida estoy
dispuesto a quedarme contigo y
a darte mi amor solo no juegues
conmigo lo único que quiero es
ser más que tu amigo yo voy
a querer como es a la antigua
y con el corazón
y a querer voy a enseñarte
a tomar la siesta conmigo en
las tardes quiero demostrarte
en pequeños detalles que te
quiero a ti a ti a los dos
ser uno mismo haremos a un lado
el maldito egoísmo si nos ayudamos
y hacemos equipo lucharé por ti por ti
sé que tengo mala fama que no soy
de estar con una sola dama pero
solo al verte la mente me cambia
y ya no pido más con tus ojos y
tu boca darte muchos besos eso me
provoca a si es como traes a mi
cabeza loca y eres especial
me saldré de la rutina le daré un
giro completo a mi vida estoy
dispuesto a quedarme contigo y
a darte mi amor solo no juegues
conmigo los único que quiero es
quedarme contigo yo voy a
querer como es a la antigua y con el corazón
y a querer voy a enseñarte a tomar
la siesta conmigo en las tardes quiero
demostrarte en pequeños detalles que
te quiero a ti a ti a los dos ser uno
mismo haremos a un lado el maldito
egoísmo si nos ayudamos y hacemos
equipo lucharé por ti por ti"
22,A TU NOMBRE,Junior H,"si el dinero me miran gastar
es que así me acostumbré a ganar
y si a diario me miran tomar
es que no te he podido olvidar
a tu nombre otra vez vo'a brindar
las pacas las voy a duplicar
con las morras billetes gastar
con morras me voy a enfiestar
entre drogas mujeres las armas
el dinero me perdí el exceso
es todo lo que tú me causaste
por haberme quitado tus besos
mi amor ya dime que sí me extrañas
y que no andas con ese pendеjo
que echas de menos mi habitación
y todas las noches de desvelo
llegan morritas para no estarte pensando
y entre más tomo más te sigo recordando
mami en el bm tu perfume está regado
te llamo y llamo pero no me has contestado
tal vez no quieres a alguien lleno de hipocresía
todo lo bueno y malo que hacía te lo decía
quieres un niño bueno romántico y poesía
y yo que soy un vago que por tus besos moría
y tomo y tomo mientras para no recordarte
otro buchanan's abro para no pensarte
estaba a punto de salir a buscarte
pero si eres feliz tengo que respetarte
si el dinero me miran gastar
es que así me acostumbré a ganar
y si a diario me miran tomar
es que no te he podido olvidar
a tu nombre otra vez vo'a brindar
las pacas las voy a duplicar
con las morras billetes gastar
con morras me voy a enfiestar
entre drogas mujeres las armas
el dinero me perdí el exceso
es todo lo que tú me causaste
por haberme quitado tus besos
mi amor ya dime que sí me extrañas
y que no andas con ese pendejo
que echas de menos mi habitación
y todas las noches de desvelo
llegan morritas para no estarte pensando
y entre más tomo más te sigo recordando
mami en el bm tu perfume está regado
te llamo y llamo pero no me has contestado
tal vez no quieres a alguien lleno de hipocresía
todo lo bueno y malo que hacía te lo decía
quieres un niño bueno romántico y poesía
y yo que soy un vago que por tus besos moría
y tomo y tomo mientras para no recordarte
otro buchanan's abro para no pensarte
estaba a punto de salir a buscarte
pero si eres feliz tengo que respetarte"
