Unnamed: 0,title,artist,lyrics
32,A Medio Vivir,Siggno,"un tiempo
fui campesino
y desde
muy niño
me enseñé
a sembrar
pero todo
era tristeza
vivía
en la pobreza
tuve
que cambiar
me convertí
en traficante
primero
ayudante
de un hombre
famoso
pero cambiaron
las cosas
la vida
es curiosa
hoy
soy poderoso
mucho
anduve
trabajando
allá
por durango
y por zacatecas
por muchos
otros lugares
allá
por nogales
también
agua prieta
de esa
cárcel
de durango
hace algunos
años
fui
su prisionero
pero
no pude
aguantarme
tuve
que fugarme
con mis compañeros
me gusta
tener
amigos
que sean
decididos
y que
me sean
fieles
y cuando
estoy
con mi gente
que me toque
siggno
para estar
alegres
cantando
ya me despido
del rancho
querido
que me vio
nacer
ese rancho
de la palma
tengo
tantas ganas
de volverlo
a ver"
34,A Mi Me Tocó Perder,El Palomo y el Gorrión,"a mí me tocó perder
no sé que voy a hacer
es que yo siempre gano
a mí me tocó perder
tal vez sea por mis años
pero que le vamos a hacer
de todo hay que aprender
a través de los años
yo que siempre gané
también debo aprender
a sufrir un engaño
hoy le brindo mi adiós
que la bendiga dios
yo que tanto la amaba
con m vida jugó
de mi amor se burló
de mi está perdonada
es que me puse a querer
a una linda mujer
que decía que me amaba
y como un tonto caí
ella solo jugaba
acostumbrada a jugar
del amor disfrutar
a mí amor destrozaba
y hoy me pongo a aplaudir
por tanto que me hizo sufrir
yo que tanto la amaba
hoy le brindo mi adiós
que la bendiga dios
yo que tanto la amaba
con m vida jugó
de mi amor se burló
de mi está perdonada"
36,A Mis Enemigos,Edgardo Nuñez,"siguen ladrando los perros
señal que voy avanzando
así lo dice el refrán
para aquellos que andan hablando
de la gente que trabaja y que no anda vacilando
al que no le vino el saco pídalo a su medida
conmigo no andan jugando
para que se arriesgan la vida
traigo una súper patada
y los traigo ya en la mira
para hablar a mis espaldas
para eso se pintan solos
por qué no me hablan de frente ? 
acaso temen al mono
ya saben con quien se meten
vengan a rifar la suerte
a mi nadie me dio nada
todo lo que tengo es mío
con el sudor de mi frente
he logrado lo que he querido
solo la vida les debo a mis padres tan queridos
navojoa como te quiero
guasave tierra querida
siempre que me ando paseando
los extraño sin medida
luego llego de pasada a visitar a mi familia
sigan chillando culebras las quitare del camino
y a los que en verdad me aprecian aquí tiene a un amigo
ya les cante este corrido a todos mis enemigos"
37,A Mis Enemigos,Valentín Elizalde,"y esta va pa toda la bola de envidiosos aija
y de que se murieron los quemados ? 
siguen ladrando los perros
señal que voy avanzando
así lo dice el refrán
para aquellos que andan hablando
de la gente que trabaja y que no anda vacilando
al que no le vino el saco pídalo a su medida
conmigo no andan jugando
para que se arriesgan la vida
traigo una súper patada
y los traigo ya en la mira
para hablar a mis espaldas
para eso se pintan solos
por qué no me hablan de frente ? 
acaso temen al mono
ya saben con quien se meten
vengan a rifar la suerte
y hechele compa lira puro navojoa municipio de guasave
a mi nadie me dio nada
todo lo que tengo es mío
con el sudor de mi frente
he logrado lo que he querido
solo la vida les debo a mis padres tan queridos
navojoa como te quiero
guasave tierra querida
siempre que me ando paseando
los extraño sin medida
luego llego de pasada a visitar a mi familia
sigan chillando culebras las quitare del camino
y a los que en verdad me aprecian aquí tiene a un amigo
ya les cante este corrido a todos mis enemigos"
39,A Mí Me Gustas Tú,Los Rojos,"nunca dudes de mí
es lo único que pido
que me quieras siempre y con eso mi amor
me doy por bien servido
tú eres lo mejor
que tengo en la vida
y cuando estoy de malas me sabes calmar
con tu linda sonrisa
y a mí me gustas tú
y nadie más que tú
con uno de tus besos
me llenas de luz
me encanta esa manera en la que me miras
me haces sentir tan especial
y yo te amo a ti y a nadie más que a ti
tú eres el regalo que tanto pedí
contigo estoy completo del cielo caíste
yo no te voy a lastimar
y nunca dudes de mí porque jamás sentí
algo tan bonito algo tan real
y a mí me gustas tú y nadie más que tú
con uno de tus besos me llenas de luz
me encanta esa manera en la que me miras
me haces sentir tan especial
y yo te amo a ti y a nadie más que a ti
tú eres el regalo que tanto pedí
contigo estoy completo del cielo caíste
yo no te voy a lastimar
y yo te amo a ti y a nadie más que a ti
tú eres el regalo que tanto pedí
contigo estoy completo del cielo caíste
yo no te voy a lastimar
y nunca dudes de mí porque jamás sentí
algo tan bonito algo tan real"
40,A Nadie Como Tu,La Leyenda,"es a ti
a quien
yo quiero
es a ti
a quien
prefiero
por que
tú eres
alguien
especial
para mi
sin tu amor
siento
una herida
pienso en ti
de noche
y día
por que
tú eres
alguien
especial
para mi
a nadie
como tú
a nadie
como tú
he amado
a nadie
como ti
a nadie
como ti
yo querré
a nadie
como tú
a nadie
como tú
he amado
eres
tan diferente
a las demás
a nadie
como tú
a nadie
como tú
he amado
a nadie
como ti
a nadie
como ti
yo querré
a nadie
como tú
a nadie
como tú
he amado
eres
tan diferente
a las demás
es a ti
a quien
yo quiero
es a ti
a quien
prefiero
por que
tú eres
alguien
especial
para mi
sin tu amor
siento
una herida
pienso en ti
de noche
y día
por que
tú eres
alguien
especial
para mi
a nadie
como tú
a nadie
como tú
he amado
a nadie
como ti
a nadie
como ti
yo querré
a nadie
como tú
a nadie
como tú
he amado
eres
tan diferente
a las demás
a nadie
como tú
a nadie
como tú
he amado"
42,A Pesar de Mi Amor,Zaino,"se acabo el amor que nos unia se acabo
porque es mejor decir adios
y aunque se que tambien yo sufrire
es preferible terminar a que decirnos la verdad
me acostumbraste a mi me acostumbre yo a ti
eso nos hizo mucho mal
por favor no vayas a pensar que es por otra mujer
si abandono tu querer
me duele a mi tambien 
//pero a pesar de mi dolor
yo te deseo buena suerte
no puedo negar que a mi me duele es de dos
pero a pesar de mi dolor
que tengas  buena suerte
un placer tenerte algunos meses
fuiste mi mejor amor
si no me importara
yo seguiria contigo
mas yo no puedo ser tu amigo
hoy es mejor decir adios// 2"
43,A Pesar de Todo con Ninel Conde,José Manuel Figueroa,"ninel
callada
aguardo tu llamada
es por encelo tu llegado
me abrazo fuerte a la almohada
me enredo de su perfume
que cuela nuestras noches de amor
jose manuel
callada
perdonas con ternura
todas mis locuras
y aunque se que nada ignoras
y que por mis errores lloras
no soy capaz de cambiar
n
y apesar de todo
y a pesar de todos
te sigo queriendo
jm
por tu sencillez
por tu timidez
por tu alma blanca
n
por tu buen amor
por tu gran valor
n/jm
por que se que nunca me daras la espalda
callados
mas unidos que nunca
mas que nunca libres
atrapados de la mente
cualquier cosa que la gente diga de nosotros dos
n
y apesar de todo
y a pesar de todos
te sigo queriendo
jm
por tu sencillez
por tu timidez
por tu alma blanca
n
por tu buen amor
por tu gran valor
n/jm
por que se que nunca me daras la espalda
bis
n
te quiero
jm
uhhh
te quiero
n
te quiero
n/jm
te quiero
n
te quiero
n
ay yo te quiero
jm
te quiero
n
ay si te quiero
jm
te quiero
n
te quiero
jm
si te quiero
nte quiero
jm
te quiero"
44,A Poco No,Memo Garza,"tenía que ser tan malo tenía que darme el gusto
no creo ser el villano yo pienso que fue justo
tenía mis esperanzas de que tú cambiarías
perdiste mi confianza y poco a poco la balanza
te dio lo que querías
a poco no querías quedarte sola ? 
a poco no querías que yo me fuera ? 
a poco no querías mirarme nunca con otra persona ? 
a poco no te gustan las mentiras ? 
a poco no se siente bien bonito
que te lastime el ser que más amabas en este perro mundo ? 
a poco no se siente que te mueres ? 
ya lo sentimos los dos juntos
a poco no querías quedarte sola ? 
a poco no querías que yo me fuera ? 
a poco no querías mirarme nunca con otra persona ? 
a poco no te gustan las mentiras ? 
a poco no se siente bien bonito
que te lastime el ser que más amabas en este perro mundo ? 
a poco no se siente que te mueres ? 
ya lo sentimos los dos juntos"
45,A Poco No,Torrente,"si no estas
mi vida
está apagada
en 0 watts
sin brillo 
en la mirada
puedo esperar 
el tiempo 
que tú quieras
con tal 
de que volvieras
amarme 
una vez más
si no estas
mi casa
esta
en penumbras
y solo tú 
la enciendes
y la alumbras
la obscuridad
provoca
aburrimiento
me nubla 
el pensamiento 
no puedo
continuar
a poco no
te estás
sintiendo igual
a poco 
soy tan fácil 
de olvidar
dime tú 
como es 
que has hecho 
para aguantar 
tanta soledad
a poco no
te estás 
sintiendo igual
a poco tú
estás hecha
de metal
porque yo 
me estoy
rompiendo 
dentro 
muy dentro 
como 
un cristal
si no estoy
a poco no 
me extrañas
a poco no 
tus ojos
no se empañan
la obscuridad
provoca
aburrimiento
me nubla 
el pensamiento 
no puedo
continuar
a poco no
te estás
sintiendo igual
a poco 
soy tan fácil 
de olvidar
dime tú 
como es 
que has hecho 
para aguantar 
tanta soledad
a poco no
te estás 
sintiendo igual
a poco tú
estás hecha
de metal
porque yo 
me estoy
rompiendo 
dentro 
muy dentro 
como 
un cristal
a poco no
te estás
sintiendo igual
a poco 
soy tan fácil 
de olvidar
dime tú 
como es 
que has hecho 
para aguantar 
tanta soledad
a poco no
te estás 
sintiendo igual
a poco tú
estás hecha
de metal
porque yo 
me estoy
rompiendo 
dentro 
muy dentro 
como 
un cristal"
